Image_Number	PMCID	PMID	Title	Journal	Publication_Date	visually detect problem colors (Shades of red, green, and orange)	Contrasts mitigate problem	Labels mitigate problem	Distance mitigates problem	Conclusion (5 types listed in drop down)	Notes
149	PMC5524724	28791295	Fertility Preservation in Endometriosis Patients: Anti-M&#x000fc;llerian Hormone Is a Reliable Marker of the Ovarian Follicle Density	Frontiers in Surgery	7/25/2017	FALSE				Gray-scale	
150	PMC6404118	30966709	Effect of a Surfactant in Microcapsule Synthesis on Self-Healing Behavior of Capsule Embedded Polymeric Films	Polymers	6/17/2018	TRUE	N	Y	Y	Definitely okay	
151	PMC8432244	34501264	An Immunogenicity Report for the Comparison between Heterologous and Homologous Prime-Boost Schedules with ChAdOx1-S and BNT162b2 Vaccines	Journal of Clinical Medicine	8/25/2021	FALSE				Definitely okay	
152	PMC7375063	32403206	Classification of comorbidity in obsessive&#x02013;compulsive disorder: A latent class analysis	Brain and Behavior	5/13/2020	FALSE				Gray-scale	
153	PMC6636103	31311491	Low vitamin D level was associated with metabolic syndrome and high leptin level in subjects with nonalcoholic fatty liver disease: a community-based study	BMC Gastroenterology	7/16/2019	FALSE				Definitely okay	
154	PMC5153483	28018426	Combination of Five Body Positions Can Effectively Improve the Rate of Gastric Mucosa's Complete Visualization by Applying Magnetic-Guided Capsule Endoscopy	Gastroenterology Research and Practice	11/29/2016	FALSE				Definitely okay	
155	PMC8971419	35361821	Black pepper and tarragon essential oils suppress the lipolytic potential and the type II secretion system of KM02	Scientific Reports	3/31/2022	FALSE				Gray-scale	
156	PMC8366585	34408986	Pharmacological Activation of Autophagy Restores Cellular Homeostasis in Ultraviolet-(B)-Induced Skin Photodamage	Frontiers in Oncology	8/2/2021	TRUE	N	N	N	Definitely problematic	
157	PMC5383480	28405282	Ecological application of biotic resistance to control the invasion of an invasive plant,	Ecology and Evolution	3/2/2017	FALSE				Definitely okay	
158	PMC5722321	29220411	Hexahydrocurcumin protects against cerebral ischemia/reperfusion injury, attenuates inflammation, and improves antioxidant defenses in a rat stroke model	PLoS ONE	12/8/2017	TRUE	Y	Y	N	Definitely okay	
159	PMC6855062	31781635	Quercetin and Quercitrin Attenuates the Inflammatory Response and Oxidative Stress in LPS-Induced RAW264.7 Cells: In Vitro Assessment and a Theoretical Model	BioMed Research International	10/28/2019	FALSE				Definitely okay	
160	PMC7175537	32316924	A needs assessment of resuscitative endovascular balloon occlusion of the aorta (REBOA) in non-traumatic out-of-hospital cardiac arrest in Norway	BMC Emergency Medicine	4/21/2020	FALSE				Definitely okay	
161	PMC4303217	25614869	Exome analysis identifies Brody myopathy in a family diagnosed with malignant hyperthermia susceptibility	Molecular Genetics &#x00026; Genomic Medicine	11/6/2014	FALSE				Definitely okay	
162	PMC7412009	32630785	Arabidopsis Plastid-RNA Polymerase RPOTp Is Involved in Abiotic Stress Tolerance	Plants	7/2/2020	FALSE				Gray-scale	
163	PMC4984500	27551379	Facing environmental predictability with different sources of epigenetic variation	Ecology and Evolution	6/28/2016	FALSE				Definitely okay	
164	PMC4219123	24295286	MAR-mediated integration of plasmid vectors for gene transfer and regulation	BMC Molecular Biology	12/2/2013	FALSE				Gray-scale	
165	PMC8771752	35070314	Selection of risk assessment methods for osteoporosis screening in postmenopausal women with low-energy fractures: A comparison of fracture risk assessment tool, digital X-ray radiogrammetry, and dual-energy X-ray absorptiometry	SAGE Open Medicine	1/15/2022	FALSE				Gray-scale	
166	PMC3669539	23734084	Explant cultures of mouse retina: a model to investigate cone opsin trafficking	Molecular Vision	5/29/2013	FALSE				Definitely okay	
167	PMC8879510	35202345	Multiplexed Genome Editing for Efficient Phenotypic Screening in Zebrafish	Veterinary Sciences	2/19/2022	FALSE				Definitely okay	
168	PMC9580926	36304265	NA	Frontiers in Bioinformatics	9/30/2022	FALSE				Definitely okay	
169	PMC8065426	33915682	The Influence of Diet Change and Oral Metformin on Blood Glucose Regulation and the Fecal Microbiota of Healthy Horses	Animals : an Open Access Journal from MDPI	4/1/2021	TRUE	Y	Y	N	Probably okay	They use the same color to mean different things. 
170	PMC8287173	34291033	Risk Diagrams Based on Primary Care Electronic Medical Records and Linked Real-Time PCR Data to Monitor Local COVID-19 Outbreaks During the Summer 2020: A Prospective Study Including 7,671,862 People in Catalonia	Frontiers in Public Health	7/5/2021	FALSE				Definitely okay	
171	PMC3521198	23173711	serine hydroxymethyltransferase: indispensability and display of distinct localization	Malaria Journal	11/22/2012	FALSE				Gray-scale	
172	PMC9718679	36344833	Chemically stable fluorescent proteins for advanced microscopy	Nature Methods	11/7/2022	TRUE	Y	Y	Y	Definitely okay	
173	PMC7246625	32403269	Lacrosse Athletes Load and Recovery Monitoring: Comparison between Objective and Subjective Methods	International Journal of Environmental Research and Public Health	5/11/2020	FALSE				Definitely okay	
174	PMC9283477	35459925	Nicotinic receptors promote susceptibility to social stress in female mice linked with neuroadaptations within VTA dopamine neurons	Neuropsychopharmacology	8/22/2022	FALSE				Definitely okay	
175	PMC6344520	30674933	Physical characteristics not psychological state or trait characteristics predict motion during resting state fMRI	Scientific Reports	1/23/2019	FALSE				Definitely okay	
176	PMC4196189	25216527	X-linked inhibitor of apoptosis protein (XIAP) lacking RING domain localizes to the nuclear and promotes cancer cell anchorage-independent growth by targeting the E2F1/Cyclin E axis	Oncotarget	7/17/2014	FALSE				Gray-scale	
177	PMC8077798	33902534	Effect of ligustrazine nanoparticles on Th1/Th2 balance by TLR4/MyD88/NF-&#x003ba;B pathway in rats with postoperative peritoneal adhesion	BMC Surgery	4/26/2021	TRUE	Y	N	Y	Definitely okay	
178	PMC7139826	32143296	The Relation between Sustained Attention and Incidental and Intentional Object-Location Memory	Brain Sciences	3/4/2020	FALSE				Definitely okay	
179	PMC3788785	24098433	Improved Production of 2,3-Butanediol in by Over-Expression of Glyceraldehyde-3-Phosphate Dehydrogenase and 2,3-butanediol Dehydrogenase	PLoS ONE	10/2/2013	TRUE	Y	Y	N	Definitely okay	
180	PMC6331615	30643149	Aminoacyl sulfonamide assembly in SB-203208 biosynthesis	Nature Communications	1/14/2019	FALSE				Definitely okay	
181	PMC6571838	31126095	What Motivates Participants to Adhere to Green Exercise?	International Journal of Environmental Research and Public Health	5/23/2019	FALSE				Definitely okay	
182	PMC6843434	31614938	Safety Evaluation of Individual Pillboxes to Control Cross-Contamination in the Drug Circuit in Hospitals	International Journal of Environmental Research and Public Health	10/13/2019	FALSE				Definitely okay	
183	PMC6122733	30176931	Hypoxic pre-conditioning suppresses experimental autoimmune encephalomyelitis by modifying multiple properties of blood vessels	Acta Neuropathologica Communications	9/3/2018	TRUE	N	N	N	Definitely problematic	
184	PMC4219689	25369472	Gender Disparities in Latent Tuberculosis Infection in High-Risk Individuals: A Cross-Sectional Study	PLoS ONE	11/4/2014	FALSE				Definitely okay	
185	PMC9464938	36105205	Efficacy of Bur. extract in ethylene glycol-induced urolithiasis model in SD rats	Frontiers in Pharmacology	8/29/2022	FALSE				Definitely okay	
186	PMC4251078	25485143	A Comparison of Topical or Retrobulbar Anesthesia for 23-Gauge Posterior Vitrectomy	Journal of Ophthalmology	11/18/2014	FALSE				Gray-scale	
187	PMC7077356	32256246	Meta-Analysis of Mid--Values: Some New Results based on the Convex Order	Journal of the American Statistical Association	8/6/2018	FALSE				Gray-scale	
188	PMC3932721	24653848	Improvement with Infliximab of a Disseminated Sarcoidosis in a Patient with Crohn's Disease	Case Reports in Pulmonology	2/6/2014	FALSE				Gray-scale	
189	PMC4390184	25883986	Exposure to Common Food Additive Carrageenan Alone Leads to Fasting Hyperglycemia and in Combination with High Fat Diet Exacerbates Glucose Intolerance and Hyperlipidemia without Effect on Weight	Journal of Diabetes Research	3/25/2015	FALSE				Definitely okay	
190	PMC5937888	29098561	Single-cell Protein and Xylitol Production by a Novel Yeast Strain FL023 from Lignocellulosic Hydrolysates and Xylose	Applied Biochemistry and Biotechnology	11/2/2018	FALSE				Gray-scale	
191	PMC7963428	33377626	Novel mutations in hyper&#x02010;IgM syndrome type 2 and X&#x02010;linked agammaglobulinemia detected in three patients with primary immunodeficiency disease	Molecular Genetics &#x00026; Genomic Medicine	12/30/2020	FALSE				Definitely okay	
192	PMC5599032	28910376	Long non-coding RNA gene allelic expression profile	PLoS ONE	9/14/2017	TRUE	N	N	N	Definitely problematic	
193	PMC9032341	35452456	Modulation of subjective peripheral sensation, F-waves, and somatosensory evoked potentials in response to unilateral pinch task measured on the contractile and non-contractile sides	PLoS ONE	4/22/2022	FALSE				Gray-scale	
194	PMC8880524	35207327	Influence of Ipsilateral Graft Inflow to Arteriovenous Fistula for Hemodialysis in Coronary Bypass Surgery	Journal of Clinical Medicine	2/17/2022	FALSE				Gray-scale	
195	PMC6720865	31409058	Defect Detection of Aluminium Plates Based on Near-Field Enhancement of Lamb Waves Generated Using an Electromagnetic Acoustic Tranducer	Sensors (Basel, Switzerland)	8/12/2019	FALSE				Gray-scale	
196	PMC6704161	31434952	The FLT3-ITD mutation and the expression of its downstream signaling intermediates STAT5 and Pim-1 are positively correlated with CXCR4 expression in patients with acute myeloid leukemia	Scientific Reports	8/21/2019	TRUE	Y	N	N	Definitely okay	
197	PMC5457191	28773981	Synthesis and Study on Ionic Conductive (Bi Materials with a Dual-Phase Microstructure	Materials	10/25/2016	TRUE	Y	Y	Y	Definitely okay	
198	PMC3359271	22420615	Quality of caesarean delivery services and documentation in first-line referral facilities in Afghanistan: a chart review	BMC Pregnancy and Childbirth	3/15/2012	FALSE				Definitely okay	
199	PMC8134068	34027494	Isolation of human bone marrow stromal cells from bone marrow biopsies for single-cell RNA sequencing	STAR Protocols	5/12/2021	TRUE	Y	N	N	Definitely okay	
200	PMC9714919	36454892	Perception and willingness to accept COVID-19 Vaccines: A cross-sectional survey of the general population of Sokoto State, Nigeria	PLOS ONE	12/1/2022	FALSE				Definitely okay	
201	PMC4289180	25398463	The effect of intermittent preventive treatment on anti-malarial drug resistance spread in areas with population movement	Malaria Journal	11/15/2014	FALSE				Gray-scale	
202	PMC7381747	32724477	Endoplasmic Reticulum stress-dependent expression of ERO1L promotes aerobic glycolysis in Pancreatic Cancer	Theranostics	7/9/2020	TRUE	Y	N	N	Definitely okay	
203	PMC8775125	35052173	Three-Dimensional Dental Analysis for Sex Estimation in the Italian Population: A Pilot Study Based on a Geometric Morphometric and Artificial Neural Network Approach	Healthcare	12/22/2021	FALSE				Gray-scale	
204	PMC4604830	26018570	Toward Synthesizing Our Knowledge of Morphology: Using Ontologies and Machine Reasoning to Extract Presence/Absence Evolutionary Phenotypes across Studies	Systematic Biology	11/26/2015	FALSE				Definitely okay	
205	PMC7904823	33627767	Identification of candidate repurposable drugs to combat COVID-19 using a signature-based approach	Scientific Reports	2/24/2021	FALSE				Definitely okay	
206	PMC4940239	27270906	Routine radiographs at time of pin removal after closed reduction and percutaneous pinning for type 2 supracondylar humerus fractures do not change management: a retrospective cohort study	Journal of Children's Orthopaedics	8/6/2016	FALSE				Gray-scale	
207	PMC9604957	36288275	Associations between recreational cannabis legalization and cannabis-related emergency department visits by age, gender, and geographic status in Ontario, Canada: An interrupted time series study	PLOS ONE	10/26/2022	FALSE				Gray-scale	
208	PMC5495794	28674402	Origin of proton affinity to membrane/water interfaces	Scientific Reports	7/3/2017	FALSE				Definitely okay	
209	PMC3815155	24223973	SWEETLEAD: an Database of Approved Drugs, Regulated Chemicals, and Herbal Isolates for Computer-Aided Drug Discovery	PLoS ONE	11/1/2013	TRUE	Y	Y	Y	Definitely okay	
210	PMC7754005	33164330	Combining bioinformatics techniques to explore the molecular mechanisms involved in pancreatic cancer metastasis and prognosis	Journal of Cellular and Molecular Medicine	12/9/2020	TRUE	Y	N	Y	Definitely okay	
211	PMC8174816	34104357	Screening of world approved drugs against highly dynamical spike glycoprotein of SARS-CoV-2 using CaverDock and machine learning	Computational and Structural Biotechnology Journal	5/26/2021	FALSE				Definitely okay	
212	PMC3440980	22696289	Infants prefer the faces of strangers or mothers to morphed faces: an uncanny valley between social novelty and familiarity	Biology Letters	10/23/2012	FALSE				Definitely okay	
213	PMC7319340	32589648	Safety and efficacy of N-acetylcysteine in hospitalized patients with HIV-associated tuberculosis: An open-label, randomized, phase II trial (RIPENACTB Study)	PLoS ONE	6/26/2020	FALSE				Gray-scale	
214	PMC7572346	31754852	Three-dimensional versus two-dimensional high-definition laparoscopy in transabdominal preperitoneal inguinal hernia repair: a prospective randomized controlled study	Surgical Endoscopy	11/21/2020	FALSE				Definitely okay	
215	PMC9691986	36438629	Dopamine D2/3-receptor availability and its association with autonomous motivation to exercise in older adults: An exploratory [C]-raclopride study	Frontiers in Human Neuroscience	11/11/2022	FALSE				Definitely okay	
216	PMC3414458	22905186	Arabidopsis MDA1, a Nuclear-Encoded Protein, Functions in Chloroplast Development and Abiotic Stress Responses	PLoS ONE	8/8/2012	TRUE	Y	Y	N	Definitely okay	
217	PMC3902895	24121683	Higher order structural effects stabilizing the reverse Watson&#x02013;Crick Guanine-Cytosine base pair in functional RNAs	Nucleic Acids Research	1/8/2014	TRUE	Y	N	Y	Definitely okay	
218	PMC5778003	29358657	Interaction between hippocampal-prefrontal plasticity and thalamic-prefrontal activity	Scientific Reports	1/22/2018	FALSE				Definitely okay	
219	PMC7261280	32347316	Hepatitis B virus X protein promotes liver cell pyroptosis under oxidative stress through NLRP3 inflammasome activation	Inflammation Research	4/28/2020	TRUE	Y	Y	Y	Definitely okay	
220	PMC3869912	24376886	Lampreys Have a Single Gene Cluster for the Fast Skeletal Myosin Heavy Chain Gene Family	PLoS ONE	12/20/2013	FALSE				Gray-scale	
221	PMC9296738	35852733	Core&#x02013;shell structured gold nanoparticles as carrier for Ho in vivo generator	EJNMMI Radiopharmacy and Chemistry	7/19/2022	FALSE				Definitely okay	
222	PMC9222717	35742399	Financial Support for Agriculture, Chemical Fertilizer Use, and Carbon Emissions from Agricultural Production in China	International Journal of Environmental Research and Public Health	6/10/2022	FALSE				Definitely okay	
